Date;deficitOnTopLayers (g/m²/d);minTair (°C);maxTair (°C);solarRadiation (MJ/m²/d);extraSolarRadiation (MJ/m²/d);vaporPressure (hPa);tau (plant cover factor dimensionless);hslope (hPa/°C);plantHeight (mm);wind (m/d);VPDair (hPa);isWindVpDefined;Wc_3cm (g/m²/d);Ntip
6/9/1991 12:00:00 AM;318.710781742398;-1.6;8;3.6;10.6217497047157;7;1;0.572470715793384;0;709000;1.08000227407717;1;5.20877353095456;0
6/10/1991 12:00:00 AM;634.561835806775;3.7;8.3;5.8;10.5757876670796;6.3;1;0.654606096029124;0;154000;3.15567004582075;1;5.01926289851593;0
6/11/1991 12:00:00 AM;0;-0.4;11.7;5.9;10.5339451245873;7;1;0.683282783382344;0;100000;2.84152342911537;1;5.4;0
6/12/1991 12:00:00 AM;0;-1.8;15.5;7;10.4962086715469;6.7;1;0.789324548352725;0;100000;4.78145988957287;1;5.4;0
6/13/1991 12:00:00 AM;0;-1.6;13.3;6.8;10.4625656475777;7.3;1;0.717628981267306;0;178000;3.05324670918487;1;5.4;0
6/14/1991 12:00:00 AM;0;0.4;12;6.9;10.4330041964722;7.1;1;0.701995284850153;0;221000;3.05687650760285;1;5.4;0
6/15/1991 12:00:00 AM;0;3;10.3;2.9;10.4075133192638;7.2;1;0.692266563948081;0;171000;2.85317046796462;1;5.4;0
6/16/1991 12:00:00 AM;0;-0.8;10.5;8.1;10.3860829214221;7.4;1;0.645016875441023;0;282000;1.82928526875666;1;5.4;0
6/17/1991 12:00:00 AM;0;2.4;12.6;2.8;10.3687038541154;7;1;0.747129286290594;0;301000;3.92563363218835;1;5.4;0
6/18/1991 12:00:00 AM;0;5.8;6.8;1.4;10.3553679494889;8;1;0.659655052006718;0;334000;1.55211421545353;1;5.26147620693472;0
6/19/1991 12:00:00 AM;0;-0.8;12;5.7;10.3460680499234;7.3;1;0.687175660092516;0;316000;2.59352017752052;1;4.93818671870191;0
6/20/1991 12:00:00 AM;0;1.2;5.2;3.7;10.3407980312478;6.7;1;0.549377913347172;0;356000;1.05406438567076;1;4.90248302282394;0
6/21/1991 12:00:00 AM;0;-1.6;7;6.9;10.3395528198895;6;1;0.549633597658252;0;141000;1.7254502745523;1;4.74354364617661;0
6/22/1991 12:00:00 AM;0;-3.3;8.4;6.3;10.342328403956;4.9;1;0.56315284905431;0;177000;3.0055807153088;1;4.74354364617661;0
6/23/1991 12:00:00 AM;0;-0.1;8;3.1;10.3491218382517;5.4;1;0.591144526756356;0;100000;2.99568939007881;1;4.74354364617661;0
6/24/1991 12:00:00 AM;491.829349987585;1.3;9.3;5;10.3599312432385;6.8;1;0.641492343496246;0;373000;2.41300095615157;1;4.55474935141466;0
6/25/1991 12:00:00 AM;806.540154032569;3.3;6.3;1.8;10.3747557979605;7.4;1;0.604348879351553;0;478000;1.24381266461537;1;4.47997744395903;0
6/26/1991 12:00:00 AM;1437.13739508595;3.5;8.8;6.1;10.3935957269602;7;1;0.662991594722413;0;129000;2.58860936904038;1;4.19442260693389;0
6/27/1991 12:00:00 AM;1561.70039120294;-2.4;5.1;4.1;10.4164522812208;6.1;1;0.50022338705497;0;102000;0.852082478447429;1;4.19442260693389;0
6/28/1991 12:00:00 AM;1887.9628597932;-1.7;7.2;2.4;10.4433277131797;5.6;1;0.552906411318884;0;458000;2.17469019719506;1;4.05945679088912;0
6/29/1991 12:00:00 AM;2365.17680868736;2.6;9.3;6.2;10.4742252458667;6.1;1;0.660735939203976;0;284000;3.44029213925453;1;3.82161523184737;0
6/30/1991 12:00:00 AM;2428.6661728691;-1.3;8.2;7;10.5091490362304;6.4;1;0.580771142735854;0;319000;1.81420744673935;1;3.82161523184737;0
7/1/1991 12:00:00 AM;2477.95372098283;-2;6.2;4.8;10.5481041327272;5.8;1;0.527529293631274;0;100000;1.57773274454399;1;3.82161523184737;0
7/2/1991 12:00:00 AM;2682.00977715091;-1.3;7.5;3.3;10.5910964272595;5.9;1;0.564491682896872;0;157000;2.06075979908377;1;3.72191726549262;0
7/3/1991 12:00:00 AM;3037.73489602506;-2.3;9.4;6.5;10.6381326015622;6.6;1;0.598807135064968;0;363000;1.87633892850263;1;3.52914525463318;0
7/4/1991 12:00:00 AM;3095.93932519194;-1;10.2;6.6;10.6892200681489;5.8;1;0.6345895183204;0;100000;3.26134523282683;1;3.50868673945859;0
7/5/1991 12:00:00 AM;3112.81415790507;-2.9;8.4;6.8;10.7443669059467;5.9;1;0.56737957174079;0;299000;2.07820445593954;1;3.50868673945859;0
7/6/1991 12:00:00 AM;3128.08660364488;-1.2;8.7;6.3;10.8035817907614;5.7;1;0.594006658763403;0;140000;2.72235670891411;1;3.50661070175421;0
7/7/1991 12:00:00 AM;3170.5861407584;-1;7.4;5.6;10.866873920732;6;1;0.565903794966556;0;162000;1.98731502606499;1;3.48607218030375;0
7/8/1991 12:00:00 AM;3312.7830500749;-0.4;14.7;5.4;10.9342529369511;5.7;1;0.776978274883057;0;139000;5.6296633335048;1;3.40422687528622;0
7/9/1991 12:00:00 AM;3422.85133566755;0;8.8;2.8;11.005728839445;6.7;1;0.611499150456688;0;159000;2.01720390571564;1;3.34061689233128;0
7/10/1991 12:00:00 AM;3851.2876714008;-0.1;12.5;6.9;11.0813118987231;6.7;1;0.710453223245426;0;100000;3.57925088481543;1;3.08525678277179;0
7/11/1991 12:00:00 AM;3888.46420494422;-3;8.4;4.2;11.1610125631282;6.5;1;0.56631143889879;0;100000;1.45986795523921;1;3.06414204696206;0
7/12/1991 12:00:00 AM;4205.65243787189;-0.5;9.8;7;11.2448413622325;6.2;1;0.630218447738421;0;100000;2.80265091812194;1;2.87466293622688;0
7/13/1991 12:00:00 AM;4269.69789919605;-4.8;7.6;5;11.3328088065445;6;1;0.529175634077541;0;230000;1.35754154075733;1;2.83681933974738;0
7/14/1991 12:00:00 AM;4536.18633104672;-1.3;6;3.5;11.4249252838081;5.6;1;0.531757547611354;0;100000;1.85240717782207;1;2.67733485685748;0
7/15/1991 12:00:00 AM;4906.53183404954;-0.5;7.9;5.2;11.5212009521902;5.9;1;0.583648901659123;0;157000;2.37206243466655;1;2.45541355841013;0
7/16/1991 12:00:00 AM;5166.38310303696;-0.5;10.1;6.2;11.6216456306691;5.7;1;0.638042250644323;0;158000;3.42571839728839;1;2.29970299936572;0
7/17/1991 12:00:00 AM;5341.42424556634;0.7;7.2;3;11.7262686869492;6.1;0.998293745933209;0.58381807626907;0;124000;2.19163598208981;1;2.19481845549172;0
7/18/1991 12:00:00 AM;5793.23933430421;3.1;8.3;1;11.8350789232387;6.9;0.997208780347009;0.644742288528282;0;340000;2.39023606522852;1;1.92405639941747;0
7/19/1991 12:00:00 AM;6425.2167762909;5.8;8.8;2.8;11.9480844602398;8.1;0.997168377451578;0.703745673164967;0;405000;2.17440519255601;1;1.54486993422546;0
7/20/1991 12:00:00 AM;6961.45385415407;3.7;10.3;5.5;12.0652926197061;8.5;0.996415661032399;0.703495804107082;0;235000;1.74557864657464;1;1.22312768750756;0
7/21/1991 12:00:00 AM;7352.68748018567;-0.5;9.7;5.4;12.1867098059319;7.4;0.995591143314014;0.627639820413628;0;226000;1.5621100419214;1;0.988387511888596;0
7/22/1991 12:00:00 AM;7736.91171011762;0.7;12;8.4;12.3123413865399;6.6;0.994553332961378;0.705899489193567;0;378000;3.62595188593494;1;0.757852973929429;0
7/23/1991 12:00:00 AM;7910.14737022422;1;11;8.4;12.4421915729391;5.4;0.993301506574025;0.681705523575002;0;316000;4.44711651547454;1;0.653911577865465;0
7/24/1991 12:00:00 AM;8034.45194488701;0.1;10.3;4.3;12.5762633008222;5.5;0.991610952862997;0.650915994541025;0;195000;3.84063657978969;1;0.579328833067794;0
7/25/1991 12:00:00 AM;8486.63457899213;0.9;7.9;5.4;12.7145581110722;5.6;0.989686719500506;0.602389831905687;0;112000;2.98734634631938;1;0.308019252604724;0
7/26/1991 12:00:00 AM;8874.68498312351;-0.3;9.6;8.3;12.8570760314432;6.3;0.988412924631072;0.627591767185775;0;149000;2.66512886815063;1;0.0751890101258942;0
7/27/1991 12:00:00 AM;9164.91322867725;-0.1;14.5;8.3;13.0038154593748;5.4;0.986774424215516;0.773800416949563;0;100000;5.88794103839656;1;0;0
7/28/1991 12:00:00 AM;9383.70011237875;-2.3;12;8.4;13.1547730462914;5.4;0.98352347609419;0.670358178130228;0;219000;4.19188370688383;1;0;0
7/29/1991 12:00:00 AM;9682.55334721654;-0.4;12.4;8.5;13.3099435837281;5.7;0.981153372213156;0.703793679434736;0;347000;4.46617604607966;1;0;0
7/30/1991 12:00:00 AM;10027.9257997492;2.8;13.3;8.4;13.4693198916136;6.1;0.978615756043287;0.774203035463394;0;283000;5.27247629676526;1;0;0
7/31/1991 12:00:00 AM;10402.2969362328;2.2;14.6;8.4;13.6328927090279;6.8;0.975610076964113;0.807037630671305;0;302000;5.08863912562332;1;0;0
8/1/1991 12:00:00 AM;10858.0829167552;3.6;13.1;8;13.800650587738;6;0.968457641882203;0.780377061930154;0;124000;5.49121838601535;1;0;0
8/2/1991 12:00:00 AM;11283.1907586486;-0.8;9.6;5.1;13.9725797887992;6;0.965345050277798;0.621366530717571;0;188000;2.85786798625462;1;0;0
8/3/1991 12:00:00 AM;11851.7114525262;-1.5;13.1;8.8;14.1486641824922;6.4;0.963548024514677;0.7124458697369;0;264000;3.87424308341194;1;0;0
8/4/1991 12:00:00 AM;12391.5199123483;-2.8;10.1;9.4;14.3288851518525;5.8;0.960688852911252;0.611697921397472;0;339000;2.8660045344133;1;0;0
8/5/1991 12:00:00 AM;12928.5202696838;1.5;17.1;9.3;14.5132215000248;5.5;0.958805847605656;0.886438564703564;0;307000;7.65415128447649;1;0;0
8/6/1991 12:00:00 AM;13485.3694031042;5.9;15.6;4;14.7016493616625;6.4;0.954023640489243;0.899473777600874;0;496000;7.10501327865619;1;0;0
8/7/1991 12:00:00 AM;14427.8001328071;9.3;15.4;6.9;14.8941421185689;7.2;0.949051158803715;0.960405637475249;0;453000;7.40649072848596;1;0;0
